"num_pagto_nob";"Nº do Pagamento Formatado";"RazaoSocialCredorPagamento";"Data do Pagamento";"val_pagto_nob";"Pagamento_Efetivado";"val_GCV";"Objeto";"num_empenho";"num_codigo_exec"
"1160100012300003540";"11601.0001.23.0000354-0";"Secretaria da Educação";"28/11/2023 00:00:00";"2958,00";"Sim";"";"Pagto. ref. a Aquisição de equipamentos, para atender o Colégio Estadual Rural Taylor Egídio, do município de Jaguaquara-Ba, Proc, SEI n° 011.5614.2023.0092576-39.";"1160100012300006198";"2023.3.11.11601.306.7744.500067.5"
"1160100012300003801";"11601.0001.23.0000380-1";"Secretaria da Educação";"07/12/2023 00:00:00";"483323,00";"Sim";"";"PROCESSO SEI Nº011.5614.2023.0087239-20 FAED - REPASSE PARA AQUISIÇÃO DE EQUIPAMENTOS, PARA SEREM DISTRIBUÍDOS NAS UNIDADES ESCOLARES ESTADUAIS, COM RECURSO PROVENIENTE DE EMENDA PARLAMENTAR.";"1160100012300006309";"2023.3.11.11601.306.7744.500067.5"
"1840100011700041002";"18401.0001.17.0004100-2";"CNH INDUSTRIAL BRASIL LTDA.";"12/07/2017 00:00:00";"70000,00";"Sim";"";"Aquisição de 60 tratores agrícolas, ct 089/2017, diversas NFs";"1840100011700029424";"2017.3.18.18401.206.1399.500030.5"
"1840100011700041630";"18401.0001.17.0004163-0";"CNH INDUSTRIAL BRASIL LTDA.";"13/07/2017 00:00:00";"78695,06";"Sim";"";"Aquisição de 50 tratores agrícolas, ct 068/2017, diversas NFs";"1840100011700027871";"2017.3.18.18401.206.1399.500030.5"
"1840100011700041258";"18401.0001.17.0004125-8";"CNH INDUSTRIAL BRASIL LTDA.";"12/07/2017 00:00:00";"58695,06";"Sim";"";"Aquisição de 50 tratores agrícolas, ct 068/2017, diversas NFs";"1840100011700027510";"2017.3.18.18401.206.1399.500030.5"
"1840100011800012180";"18401.0001.18.0001218-0";"CHIUMENTO E CIA LTDA EPP";"06/03/2018 00:00:00";"11304,94";"Sim";"";"Pgto parcial referente a compra de carreta tanque agrícola c/ capacidade p/ 4000 litros, ct 90/17, NFs 784,785,787,789 e 790";"1840100011700030546";"2017.3.18.18401.206.1399.500030.5"
"1840100011800012156";"18401.0001.18.0001215-6";"CHIUMENTO E CIA LTDA EPP";"06/03/2018 00:00:00";"19304,94";"Sim";"";"Pgto parcial referente a compra de carreta tanque agrícola c/ capacidade p/ 4000 litros, ct 90/17, NFs 784,785,787,789 e 790";"1840100011700030414";"2017.3.18.18401.206.1399.500030.5"
"1110100911900009756";"11101.0091.19.0000975-6";"moncibras montagem e construção civil brasileira";"06/05/2019 00:00:00";"69761,70";"Sim";"";"PAGAMENTO REFERENTE 1º MEDIÇÃO DA PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO COL. EST. PROF. MARIA BERNADETE BRANDÃO, MUNICÍPIO DE SALVADOR, EXECUÇÃO 100,00% - O.S. Nº 236/2018 PERÍODO: 28/12/2018 A 26/01/2019, , Nº SEI - 2019.0014164-90, N.F. 39, T. ADESÃO 130/2018.";"1110100911800008559";"2018.3.11.11101.212.7528.500074.5"
"1110100911900009081";"11101.0091.19.0000908-1";"moncibras montagem e construção civil brasileira";"15/04/2019 00:00:00";"38809,53";"Sim";"";"PROCESSO Nº 0008106-91/2019, CREDENCIAMENTO Nº0095/2019 - PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA -2ª BOLETIM DE MEDIÇÃO FINAL, EDITAL DE CREDENCIAMENTO Nº004/2018, NO COLÉGIO ESTADUAL PRINCESA IZABEL, MUNICIPIO DE SALVADOR - NTE 26, CÓDIGO MEC 29187095, O.S 203/2018, PERÍODO DE 17/01/2019 A 15/02/2019, NOTA FISCAL Nº00000036";"1110100911800007773";"2018.3.11.11101.212.7528.500074.5"
"1110100911900005939";"11101.0091.19.0000593-9";"BAHIA SECRETARIA DA FAZENDA";"19/02/2019 00:00:00";"1164,89";"Sim";"";"Termo de reconhecimento de débito indenização e quitação de creditos serviços executavo no Colégio Estadual Dona Leonor Calmon CPM Cajazeiras municipio de Salvador-Bahia Lote 01,período:19/04/2018 a 19/05/2018,processo:75826-1/2018,NF:1754.";"1110100911800008427";"2018.3.11.11101.212.7528.500074.5"
"1110100911900009772";"11101.0091.19.0000977-2";"BAHIA SECRETARIA DA FAZENDA";"06/05/2019 00:00:00";"573,38";"Sim";"";"PAGAMENTO REFERENTE 1º MEDIÇÃO DA PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO COL. EST. PROF. MARIA BERNADETE BRANDÃO, MUNICÍPIO DE SALVADOR, EXECUÇÃO 100,00% - O.S. Nº 236/2018 PERÍODO: 28/12/2018 A 26/01/2019, , Nº SEI - 2019.0014164-90, N.F. 39, T. ADESÃO 130/2018.";"1110100911800008559";"2018.3.11.11101.212.7528.500074.5"
"1110100911900013648";"11101.0091.19.0001364-8";"BAHIA SECRETARIA DA FAZENDA";"11/06/2019 00:00:00";"472,08";"Sim";"";"PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA, NO COL. EST. RAYMUNDO DE ALMEIDA GOUVEIA, MUNICÍPIO DE SALVADOR, TERMOD E ADESÃO AO CREDENCIAMENTO Nº92/2018, EDITAL DE CREDENCIAMENTO Nº004/2018. PERIODO DE 25/01 A 23/02/2019. NF Nº259. PROC. SEI Nº 011.5620.2019.0020556-18.";"1110100911800008974";"2018.3.11.11101.212.7528.500074.5"
"1110100911900009098";"11101.0091.19.0000909-8";"BAHIA SECRETARIA DA FAZENDA";"15/04/2019 00:00:00";"318,98";"Sim";"";"PROCESSO Nº 0008106-91/2019, CREDENCIAMENTO Nº0095/2019 - PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA -2ª BOLETIM DE MEDIÇÃO FINAL, EDITAL DE CREDENCIAMENTO Nº004/2018, NO COLÉGIO ESTADUAL PRINCESA IZABEL, MUNICIPIO DE SALVADOR - NTE 26, CÓDIGO MEC 29187095, O.S 203/2018, PERÍODO DE 17/01/2019 A 15/02/2019, NOTA FISCAL Nº00000036";"1110100911800007773";"2018.3.11.11101.212.7528.500074.5"
"1110100911900005947";"11101.0091.19.0000594-7";"CONSTRUTORA VOLQUE LTDA";"19/02/2019 00:00:00";"141728,83";"Sim";"";"Termo de reconhecimento de débito indenização e quitação de creditos serviços executavo no Colégio Estadual Dona Leonor Calmon CPM Cajazeiras municipio de Salvador-Bahia Lote 01,período:19/04/2018 a 19/05/2018,processo:75826-1/2018,NF:1754.";"1110100911800008427";"2018.3.11.11101.212.7528.500074.5"
"1110100911900005912";"11101.0091.19.0000591-2";"Prefeitura Municipal do Salvador";"19/02/2019 00:00:00";"3882,98";"Sim";"";"Termo de reconhecimento de débito indenização e quitação de creditos serviços executavo no Colégio Estadual Dona Leonor Calmon CPM Cajazeiras municipio de Salvador-Bahia Lote 01,período:19/04/2018 a 19/05/2018,processo:75826-1/2018,NF:1754.";"1110100911800008427";"2018.3.11.11101.212.7528.500074.5"
"1110100911900009780";"11101.0091.19.0000978-0";"Prefeitura Municipal do Salvador";"06/05/2019 00:00:00";"1911,28";"Sim";"";"PAGAMENTO REFERENTE 1º MEDIÇÃO DA PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO COL. EST. PROF. MARIA BERNADETE BRANDÃO, MUNICÍPIO DE SALVADOR, EXECUÇÃO 100,00% - O.S. Nº 236/2018 PERÍODO: 28/12/2018 A 26/01/2019, , Nº SEI - 2019.0014164-90, N.F. 39, T. ADESÃO 130/2018.";"1110100911800008559";"2018.3.11.11101.212.7528.500074.5"
"1110100911900013631";"11101.0091.19.0001363-1";"Prefeitura Municipal do Salvador";"11/06/2019 00:00:00";"1361,40";"Sim";"";"PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA, NO COL. EST. RAYMUNDO DE ALMEIDA GOUVEIA, MUNICÍPIO DE SALVADOR, TERMOD E ADESÃO AO CREDENCIAMENTO Nº92/2018, EDITAL DE CREDENCIAMENTO Nº004/2018. PERIODO DE 25/01 A 23/02/2019. NF Nº259. PROC. SEI Nº 011.5620.2019.0020556-18.";"1110100911800008974";"2018.3.11.11101.212.7528.500074.5"
"1110100911900009101";"11101.0091.19.0000910-1";"Prefeitura Municipal do Salvador";"15/04/2019 00:00:00";"1063,28";"Sim";"";"PROCESSO Nº 0008106-91/2019, CREDENCIAMENTO Nº0095/2019 - PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA -2ª BOLETIM DE MEDIÇÃO FINAL, EDITAL DE CREDENCIAMENTO Nº004/2018, NO COLÉGIO ESTADUAL PRINCESA IZABEL, MUNICIPIO DE SALVADOR - NTE 26, CÓDIGO MEC 29187095, O.S 203/2018, PERÍODO DE 17/01/2019 A 15/02/2019, NOTA FISCAL Nº00000036";"1110100911800007773";"2018.3.11.11101.212.7528.500074.5"
"1110100911900013621";"11101.0091.19.0001362-1";"CONTINENTAL CONSTRUCOES E EMPREENDIMENTOS LTDA";"11/06/2019 00:00:00";"26643,30";"Sim";"";"PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA, NO COL. EST. RAYMUNDO DE ALMEIDA GOUVEIA, MUNICÍPIO DE SALVADOR, TERMOD E ADESÃO AO CREDENCIAMENTO Nº92/2018, EDITAL DE CREDENCIAMENTO Nº004/2018. PERIODO DE 25/01 A 23/02/2019. NF Nº259. PROC. SEI Nº 011.5620.2019.0020556-18.";"1110100911800008974";"2018.3.11.11101.212.7528.500074.5"
"1110100911900005920";"11101.0091.19.0000592-0";"Secretaria da Receita Federal do Brasil";"19/02/2019 00:00:00";"8542,56";"Sim";"";"Termo de reconhecimento de débito indenização e quitação de creditos serviços executavo no Colégio Estadual Dona Leonor Calmon CPM Cajazeiras municipio de Salvador-Bahia Lote 01,período:19/04/2018 a 19/05/2018,processo:75826-1/2018,NF:1754.";"1110100911800008427";"2018.3.11.11101.212.7528.500074.5"
"1110100911900009764";"11101.0091.19.0000976-4";"Secretaria da Receita Federal do Brasil";"06/05/2019 00:00:00";"4204,81";"Sim";"";"PAGAMENTO REFERENTE 1º MEDIÇÃO DA PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO COL. EST. PROF. MARIA BERNADETE BRANDÃO, MUNICÍPIO DE SALVADOR, EXECUÇÃO 100,00% - O.S. Nº 236/2018 PERÍODO: 28/12/2018 A 26/01/2019, , Nº SEI - 2019.0014164-90, N.F. 39, T. ADESÃO 130/2018.";"1110100911800008559";"2018.3.11.11101.212.7528.500074.5"
"1110100911900013613";"11101.0091.19.0001361-3";"Secretaria da Receita Federal do Brasil";"11/06/2019 00:00:00";"2995,08";"Sim";"";"PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA, NO COL. EST. RAYMUNDO DE ALMEIDA GOUVEIA, MUNICÍPIO DE SALVADOR, TERMOD E ADESÃO AO CREDENCIAMENTO Nº92/2018, EDITAL DE CREDENCIAMENTO Nº004/2018. PERIODO DE 25/01 A 23/02/2019. NF Nº259. PROC. SEI Nº 011.5620.2019.0020556-18.";"1110100911800008974";"2018.3.11.11101.212.7528.500074.5"
"1110100911900009071";"11101.0091.19.0000907-1";"Secretaria da Receita Federal do Brasil";"15/04/2019 00:00:00";"2339,21";"Sim";"";"PROCESSO Nº 0008106-91/2019, CREDENCIAMENTO Nº0095/2019 - PAGAMENTO REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENGENHARIA -2ª BOLETIM DE MEDIÇÃO FINAL, EDITAL DE CREDENCIAMENTO Nº004/2018, NO COLÉGIO ESTADUAL PRINCESA IZABEL, MUNICIPIO DE SALVADOR - NTE 26, CÓDIGO MEC 29187095, O.S 203/2018, PERÍODO DE 17/01/2019 A 15/02/2019, NOTA FISCAL Nº00000036";"1110100911800007773";"2018.3.11.11101.212.7528.500074.5"
"1160100012100011826";"11601.0001.21.0001182-6";"Secretaria da Educação";"19/08/2021 00:00:00";"7500,00";"Sim";"";"AQUISIÇÃO DE BENS DE CAPITAL - E. PARLAMENTAR - EQUIPAMENTO DE SOM - ESCOLA PRESCILIANO SILVA - NTE 26 PROCESSO SEI 011.7644.2021.0031469-12";"1160100012100012251";"2021.3.11.11601.306.7744.500098.5"
"1160100012100005151";"11601.0001.21.0000515-1";"Secretaria da Educação";"15/07/2021 00:00:00";"2601,90";"Sim";"";"SEI 011.7644.2021.0014571-63, Aquisição de bens de capital, através de emenda parlamentar nº 5212, para o Colégio Estadual Professor Carlos Sant'anna - Tempo Integral, NTE 26.";"1160100012100002140";"2021.3.11.11601.306.7744.500098.5"
"1160100012100030545";"11601.0001.21.0003054-5";"Secretaria da Educação";"29/10/2021 00:00:00";"2693,23";"Sim";"";"Pagto. ref. a Aquis. de bens de capital através de Emenda Parlamentar, para o Col. Est. Professor Edson Carneiro, Salvador/NTE 26, Proc. SEI n° 011.7644.2021.0014583-05.";"1160100012100031671";"2021.3.11.11601.306.7744.500098.5"
"1160100012100000859";"11601.0001.21.0000085-9";"Secretaria da Educação";"17/05/2021 00:00:00";"8500,00";"Sim";"";"SEI 011.7644.2021.0011318-11, REPASSE PARA AQUISIÇÃO DE BENS DE CAPITAL - COLÉGIO ESTADUAL MANOEL DE JESUS.";"1160100012100000970";"2021.3.11.11601.306.7744.500098.5"
"1160100012100044090";"11601.0001.21.0004409-0";"Secretaria da Educação";"20/12/2021 00:00:00";"3700,00";"Sim";"";"PAGTO. REF. A AQUISIÇÃO DE BENS DE CAPITAL - E. PARLAMENTAR - GELADEIRA - COLÉGIO ESTADUAL POLIVALENTE SAN DIEGO - NTE 26, PROC. SEI N° 011.5614.2021.0066189-49.";"1160100012100046660";"2021.3.11.11601.306.7744.500098.5"
"1160100012100042969";"11601.0001.21.0004296-9";"Secretaria da Educação";"26/11/2021 00:00:00";"4800,00";"Sim";"";"AQUISIÇÃO DE BENS DE CAPITAL- E.PARLAMENTAR- COMPUTADORES COMPLETOS - COLÉGIO ESTADUAL
EDIVALDO MACHADO BOAVENTURA,PROCESSO:011.7626.2021.0018031-95";"1160100012100044366";"2021.3.11.11601.306.7744.500098.5"
"1160100012100042543";"11601.0001.21.0004254-3";"Secretaria da Educação";"25/11/2021 00:00:00";"3600,00";"Sim";"";"AQUISIÇÃO DE BENS DE CAPITAL - COMPUTADOR COMPLETO - E. PARLAMENTAR - COLÉGIO ESTADUAL DO CAMPO PADRE HENRIQUE ALVES BORGES- NTE 19, PROCESSO SEI N° 011.7638.2021.0059226-29.";"1160100012100044153";"2021.3.11.11601.306.7744.500098.5"
"1160100012100000867";"11601.0001.21.0000086-7";"Secretaria da Educação";"17/05/2021 00:00:00";"6890,00";"Sim";"";"REPASSE PARA AQUISIÇÃO DE BENS DE CAPITAL - COLÉGIO ESTADUAL LUIZ FERNANDO MACEDO COSTA - NTE 26, SEI: 011.7644.2021.0012572-37";"1160100012100001004";"2021.3.11.11601.306.7744.500098.5"
"1160100012100043574";"11601.0001.21.0004357-4";"Secretaria da Educação";"10/12/2021 00:00:00";"4674,00";"Sim";"";"AQUISIÇÃO DE BENS DE CAPITAL - E. PARLAMENTAR - FOGÃO INDUSTRIAL E IMPRESSORA MULTIFUNCIONAL - COLÉGIO ESTADUAL MANOEL LEVI - NTE 01 PROCESSO SEI 011.7626.2021.0060523-92";"1160100012100045699";"2021.3.11.11601.306.7744.500098.5"
"1160100012100011427";"11601.0001.21.0001142-7";"Secretaria da Educação";"06/08/2021 00:00:00";"7600,00";"Sim";"";"AQUISIÇÃO DE BENS DE CAPITAL - REFRIGERADOR E CONJ MESA E CADEIRAS - COLÉGIO ESTADUAL PROFESSOR
ROCHA PITA - NTE 06.Processo:011.7624.2021.0027382-52.";"1160100012100011344";"2021.3.11.11601.306.7744.500098.5"
"1160100012100044120";"11601.0001.21.0004412-0";"Secretaria da Educação";"20/12/2021 00:00:00";"9500,00";"Sim";"";"AQUISIÇÃO DE BENS DE CAPITAL - E. PARLAMENTAR = 02 computadores completos, mediante recurso de Emenda Estadual 7610 do Deputado Hilton Coelho = SEI 011.5614.2021.0065530-49";"1160100012100046581";"2021.3.11.11601.306.7744.500098.5"
"1160100012100001571";"11601.0001.21.0000157-1";"Secretaria da Educação";"25/06/2021 00:00:00";"3893,23";"Sim";"";"AQUISIÇÃO DE BENS DE CAPITAL - E. PARLAMENTAR - NOTEBOOK - COLÉGIO ESTADUAL DO CAMPO PADRE
HENRIQUE ALVES - NTE 19, PROCESSO SEI N° 011.7638.2021.0024102-87.";"1160100012100001918";"2021.3.11.11601.306.7744.500098.5"
"1160100012300003974";"11601.0001.23.0000397-4";"Secretaria da Educação";"07/12/2023 00:00:00";"13500,00";"Sim";"";"REPASSE DE RECURSO PARA DESCENTRALIZAÇÃO DE EQUIPAMENTOS ATRAVÉS DE EMENDA PARLAMENTAR, COLÉGIO ESTADUAL COM PEDRO II - NTE 19. PROCESSO SEI 011.5614.2023.0090101-53";"1160100012300006368";"2023.3.11.11601.306.7744.500034.5"
"1160100012300002366";"11601.0001.23.0000236-6";"Secretaria da Educação";"05/09/2023 00:00:00";"13500,00";"Sim";"";"Aquisição de 05 televisores, para atender o Colégio Estadual Governador Luiz Viana Filho, do município de Guanambi.= SEI 011.7627.2023.0063969-11";"1160100012300004284";"2023.3.11.11601.306.7744.500034.5"
"1840100012300087489";"18401.0001.23.0008748-9";"VIA 40 SOLUCOES EIRELI";"20/12/2023 00:00:00";"86800,00";"Sim";"";"Pgt parcial ref aquisição de 461 barracas de feira Ct 84/2023 T 66 sei 035.7371.2023.0021119-81";"1840100012300079431";"2023.3.18.18401.304.7838.500049.5"
"1960100032500107721";"19601.0003.25.0010772-1";"FORD MOTOR COMPANY BRASIL LTDA";"14/08/2025 00:00:00";"1470000,00";"Sim";"";"Aquisição de Veiculo tipo Van conforme ct n° 002/2025, afm n° 19004.00123/2025, processo sei n° 019.4975.2025.0012526-61.
NFS: 927.597/927.600/927.603/927.604/927.611/927.612/ 927.618 E OUTRAS, TOTAL 18 NOTAS IR 17009.";"1960100032500011321";"2025.3.19.19601.436.7850.500142.5"
"1960100032500095535";"19601.0003.25.0009553-5";"TOYOTA DO BRASIL LTDA";"28/07/2025 00:00:00";"1157000,00";"Sim";"";"Aquisição de Veiculo de serviço administrativo conforme ct n° 006/2025, afm n° 19.004.00114/2025, emenda n° 500139, processo sei emp e liq: 
019.4975.2025.0013406-16. notas fiscais 621448 / 621419 / 621469 / 621467 / 621491 / 621423 / 621456 / 621433 / 621464 / 621479 / 621498 / 621486 / 621430 / 621449 / 621458 / 621477 / 621480 / 621495 / 621485 / 621415 / 621424 e outras. IR (17009).";"1960100032500013421";"2025.3.19.19601.436.7850.500142.5"
"1960100032500106731";"19601.0003.25.0010673-1";"BAHIA SECRETARIA DA FAZENDA";"13/08/2025 00:00:00";"14711,76";"Sim";"";"Aquisição de Veiculo tipo micro onibus conforme ct n° 009/2025, afm n° 19.004.00261/2025,processo sei n°019.4975.2025.0042199-07,
NFS: 16380, 16383,16381 ,16358,16359,16461,16411.
IR: 17009";"1960100032500035598";"2025.3.19.19601.436.7850.500142.5"
"1960100032500106553";"19601.0003.25.0010655-3";"MARCOPOLO SA";"13/08/2025 00:00:00";"148288,24";"Sim";"";"Aquisição de Veiculo tipo micro onibus conforme ct n° 009/2025, afm n° 19.004.00261/2025,processo sei n°019.4975.2025.0042199-07,
NFS: 16380, 16383,16381 ,16358,16359,16461,16411.
IR: 17009";"1960100032500035598";"2025.3.19.19601.436.7850.500142.5"
"1960100031900040558";"19601.0003.19.0004055-8";"LOTUS INDUSTRIA E COMERCIO LTDA.";"27/06/2019 00:00:00";"115560,00";"Sim";"";"Processo 11689-14/2019, NF 4.090, AFM 243/2019, aquisição de processadora automática de filmes de raios-X, cumprindo Emendas
Estaduais Impositivas - Dep. Ângelo Coronel.";"1960100031900038193";"2019.3.19.19601.200.5607.500007.5"
"1960100032000070461";"19601.0003.20.0007046-1";"STELLANTIS AUTOMOVEIS BRASIL LTDA.";"26/08/2020 00:00:00";"531000,00";"Sim";"";"Processo 019.4975.2019.0117019-92, AFM 146/2020, NFs 4808162, 4808163, 4808165, 4808167, 4808170, 4808174, 4809950, 4815630 e 4815631, aquisição de veículo, tipo furgão, adaptada para ambulância de transporte de pequeno porte (tipo A).";"1960100032000011380";"2020.3.19.19601.313.1099.500078.5"
"2130100012200000989";"21301.0001.22.0000098-9";"GGS INDUSTRIA, COMERCIO E SERVIÇOS LTDA";"10/02/2022 00:00:00";"21350,00";"Sim";"";"Processo nº 06914652021000361370, o pagamento da nota fiscal nº 12.887, referente ao Contrato nº 065/2021 tendo como objeto Aquisição de Material Esportivo para Distribuição Gratuita (Colete) - AFM - 21.600.00299/2021.";"2130100012100019991";"2021.3.21.21301.308.5793.500117.5"
"2130100012200000970";"21301.0001.22.0000097-0";"GGS INDUSTRIA, COMERCIO E SERVIÇOS LTDA";"10/02/2022 00:00:00";"29998,80";"Sim";"";"Processo nº 06914652021000361370, para pagamento da nota fiscal nº 12886, referente ao Contrato nº 065/2021 tendo como objeto Aquisição de Material Esportivo para Distribuição Gratuita (Padrão) - AFM - 21.600.00298/2021.";"2130100012100020280";"2021.3.21.21301.308.5793.500117.5"
"2130100012200000997";"21301.0001.22.0000099-7";"TRINCA ESPORTES LTDA";"10/02/2022 00:00:00";"16600,00";"Sim";"";"PAGTO NF 6353 - AFM - 21.600.00245/2021 - MATERIAL ESPORTIVO 069.1465.2021.0000834-69";"2130100012100014132";"2021.3.21.21301.308.5793.500117.5"
"2130100012100026183";"21301.0001.21.0002618-3";"NADIA CORREIA DE ALMEIDA";"06/12/2021 00:00:00";"15106,00";"Sim";"";"Pagamento referente ao aditivo do Contrato nº014/2021 - Aquisição de Material Esportivo para Distribuição Gratuita (Padrão). AFM - 21.600.00272/2021, processo:1972-34 .";"2130100012100012911";"2021.3.21.21301.308.5793.500117.5"
"1110100382200016620";"11101.0038.22.0001662-0";"MUNDIAL REFRIGERAÇÃO EIRELI";"05/12/2022 00:00:00";"2718,40";"Sim";"";"Pagto. ref. a aquisição de Condicionadores de Ar, através da ATA de Registro de Preços n° 09.009-PE148/2021, AFM n° 11.253.00028/2022, p/serem distribuídas nas Unid. Escolares, com recursos provenientes de Emendas Parlamentares Estaduais, DANFE n° 1022, Proc. SEI n° 011.5614.2022.0084847-38.";"1110100382200002669";"2022.3.11.11101.306.7744.500109.5"
"1110100382300000380";"11101.0038.23.0000038-0";"LIDER NOTEBOOKS COMERCIO E SERVICOS LTDA";"24/01/2023 00:00:00";"31500,00";"Sim";"";"SEI 011.5614.2022.0094155-43, AQUISICAO DE UNIDADES DE DESKTOPS, CONTRATO 179/2022. nf 6299";"1110100382200011560";"2022.3.11.11101.306.7744.500109.5"
"1110100382200012404";"11101.0038.22.0001240-4";"LUIS CONFORTO COMERCIO DE MOVEIS E SERVICOS LTDA";"06/10/2022 00:00:00";"4848,00";"Sim";"";"Pagto. ref. a Aquisição de 17(dezessete) Unidades de Poltronas Espaldar Alto c/Braço, Através da ATA de Registro de Preços N° 09.009-PE133/2021-SAEB, para serem distribuídas nas Unid. Escolares, conforme AFM n° 11.253.00041/2022, DANFE n° 3144, Proc. SEI n° 011.5614.2022.0072675-12.";"1110100382200005293";"2022.3.11.11101.306.7744.500109.5"
"1110100382300000445";"11101.0038.23.0000044-5";"VENTISOL DA AMAZONIA INDUSTRIA DE APARELHOS ELETRICOS LTDA";"24/01/2023 00:00:00";"24745,00";"Sim";"";"PROCESSO SEI Nº011.5614.2022.0063907-61 AQUISIÇÃO DE 58 CONDICIONADORES DE AR SPLIT 30.000 BTUS, CONTRATO Nº220/2022, PE Nº148/2021, AFM Nº11.253.00100/2022, NOTA FISCAL ELETRÔNICA Nº50346.";"1110100382200010361";"2022.3.11.11101.306.7744.500109.5"
